review,ord,ord_group
선행 경주주도 직선 막판 덜미로 3착,3,0
중반이후 밀리는 모습 직선 덜미,7,0
중위권 경주전개 직선 탄력 우승 차지,1,1
중위권 경주전개 직선 탄력 신승거둠,1,1
시종 중간후미 직선 걸음 무뎌져 밀려남,10,0
중위권 전개 직선 추입력보이며 선전,2,1
선입 최선전개 직선주로 추격 허용,6,0
중간후미 맴돌다 직선 걸음 무뎌짐,11,0
선행으로 경주주도나 직선주로 덜미 2착만족,2,1
4c이후 격차좁히나 직로 덜미 3착 그침,3,0
중간후미 경주내내 순위변동 보이지 못함,9,0
중간후미 맴돌고 직선 탄력 5착,5,0
중간후미 머물다 직선 추입력 역전실패 아쉬움,3,0
중위권 경주전개 직선 탄력 보이며 우승,1,1
중위권 경주전개 직선주로 추입력 신승,1,1
시종 후미 직선 추입력 보이며 우승,1,1
중위권 전개 직선 탄력보이며 2착 신승,2,1
시종후미 머물렀지만 직선 추입 끝걸음 보임,6,0
시종 후미에 직선 막판 조금 나섬,8,0
후미에 머물렀지만 막판 조금 올라섬,8,0
중위권 경주전개 직선 걸음 무뎌짐,10,0
후미에 경주내내 후미 벗어나지 못함,6,0
늦은출발이후 후미권 전개하다 직선 올라옴,6,0
선행으로 경주를 주도했으나 직선 막판 덜미잡혀,2,1
과태금: 결승선 전방 약 100M 지점 채찍 놓침,9,0
후미전개하다 4코너이후 순위좁혔으나 입상실패,4,0
중위권 공략이나 시종 순위변동을 일으키지못해,6,0
선두권 후미따르며 강공이나 시종 순위좁히지못해,4,0
출발밀렸고 시종 후미권 벗어나지 못해,10,0
출발도 밀렸고 경주전개할수록 순위밀리는모습,11,0
빠른출발없이 시종 후미권이나 직선 못올라옴,7,0
후미권 이끌며 기회노렸으나 직선 추입력 발휘안돼,5,0
선행마 후미각축이나 직선 다소 지치며 밀려,5,0
선입권 전개했고 직선 역주나 막판 덜미 후착,2,1
선행마 후미따르며 각축전개나 시종 선두로 못나서,2,1
선행마 후미각축이나 직선 지치며 순위밀려,8,0
후미권 이끌다 순위좁혔으나 선두와는 격차있어,4,0
늦은출발이후 후미전개나 직선 끝걸음 보여줌,3,0
후미권 이끌었고 직선 역주나 입상에는 실패,5,0
초반 바깥기댐이나 3코너 선두권 가담후 직선 선두,1,1
출발심사: 출발 및 발진불량,9,0
(코리안더비)-선입권 공략이나 막판 역전실패,2,1
기승정지: 출발후 200M 안으로 진로변경 타마방해,1,1
(스포츠조선배)-후미출발후 3코너 선입권 올라옴,4,0
초반 선행마 후미가담이나 직선 지치며 후미,10,0
후미권을 벗어나지 못하고 따라감,8,0
후미권 이끌며 순위도약 시도나 여의치않음,6,0
선행실패이후 초반제어하며 막판 다소 지침,4,0
선입권 전개후 직선 선행마 후미나 막판 덜미 후착,3,0
착지불량으로 중위권 출발후 직선 올라옴,3,0
(코리안더비)-출말밀렸고 경주전개할수록 순위밀려,14,0
늦발후 후미전개나 직선 끝걸음을 보여줌,5,0
시종 후미권을 벗어나지 못하고 따라감,9,0
시종 후미권 전개나 직선 걸음은 좋은모습,6,0
출발밀렸고 경주전개할수록 순위밀리는모습,9,0
선행으로 경주를 주도했으나 직선 선두내주고 밀려,4,0
선행마 후미각축후 4코너 선두나 직선 선두내줌,3,0
점프하며 후미출발이후 시종 후미권 전개,7,0
시종 후미권 전개나 직선 추입력 발휘 후착각축,3,0
선행으로 경주를 주도했으나 직선 선두내주고 밀려,7,0
결승선 150M 바깥으로 진로변경 타마방해,4,0
선두권 압박하다 직선 후착성공이나 선두와는 격차,2,1
선행마 후미각축이나 직선 탄력이 떨어짐,6,0
후미권 이끌다 직선 추입력을 보여주며 후착성공,2,1
중위권 공략이나 시종 순위좁히지못하고 통과,5,0
착지불량이후 후미에서 순위좁히나 입상실패,6,0
출발밀려 시종 후미권을 벗어나지 못하고 통과,8,0
바깥으로 기대며 출발후 후미전개나 끝걸음,7,0
시종 후미권을 벗어나지 못하고 따라감,10,0
과태금: 결승선 직선주로 채찍 과다사용,1,1
선두권 후미출발이나 경주전개할수록 순위밀려,11,0
선두권 각축이나 직선탄력이 떨어지며 밀려,6,0
선입권 전개후 직선에서 방해를 받아 고전,3,0
초반부터 중위권 공략이나 직선 지치며 후미로,9,0
선행마 후미권 전개하다 직선 선행마 덜미잡아,1,1
(스포츠조선배)-후미권에서 순위좁히지못해,5,0
(스포츠조선배)-선행경주주도나 막판 덜미 후착,2,1
선행마 후미출발이나 3-4코너이후 직선 순위밀려,5,0
후미권 이끌며 기회노렸으나 여의치않음,6,0
점프하며 출발이후 직선 선두마 후미가담,2,1
늦은출발과 안으로 기대며 주행이후 직선 걸음보임,7,0
(스포츠조선배)-선행마 후미전개후 직선 선두부상,1,1
선행마 후미따르다 직선 선두부상후 격차벌려,1,1
중위권 전개하다 직선 순위좁혔으나 선두와는 격차,3,0
후미전개하다 직선 순위좁혔으나 입상과는 격차,5,0
시종 후미권 전개나 직선 걸음은 좋은모습,8,0
선행마 후미따르며 각축전개하다 직선 선두부상 여유,1,1
초반 밀렸으나 시종 순위좁혀 막판 후착성공,2,1
선두권을 압박하며 따라갔으나 직선 지친모습,4,0
주의: 출발후 약 150M부터 4코너까지 끌며 기댐,2,1
후미권 이끌며 순위도약 시도나 시종 여의치않음,6,0
출발밀려 시종 후미권을 벗어나지 못해,11,0
선행마 후미각축이나 4코너이후 직선 밀려,4,0
선행마 후미를 따라갔으나 직선 선두로 못나서,3,0
(코리안더비)-후미권 이끌었으나 시종 탄력없이 통과,11,0
(스포츠조선배)-마체검사: 오른 앞다리 절음,6,0
늦출발이후 시종 후미권 전개나 직선 올라옴,7,0
중위권 전개하다 직선 순위좁혔으나 막판 한발부족,4,0
선행으로 경주를 주도했고 시종 선두를 유지함,1,1
주행심사: 1위마와 32.1 마신 차,11,0
다리들며 후미출발이나 직선 막판 선두로 부상,1,1
시종 후미권 전개나 막판 걸음은 좋은모습,9,0
(스포츠조선배)-경주능력부진; 1위마와 56.2 마신 차,8,0
선두권 압박전개나 직선초반 순위밀려 고전,5,0
선행마 후미권 각축이나 4코너부터 순위밀려,4,0
선두권 압박하다 3코너 선두부상후 여유승,1,1
선행마 후미따르다 직선 선두나 막판 덜미잡혀,3,0
후미권에서 강한모습을 보이지못하고 따라감,8,0
선입권 전개하다 직선 후착성공이나 격차못좁혀,2,1
(스포츠조선배)-출발심사: 진입불량,2,1
선두권 압박하다 직선 선두부상후 버티기,1,1
선행마 후미출발이나 진로방해받았고 직선 처짐,10,0
(코리안더비)-과태금: 결승선 직선주로 채찍 과다사용,3,0
밀며 중위권 나섰고 직선주로 탄력 보이며 신승거둠,1,1
후미권 머물렀지만 직선 탄력으로 추입력 보이며 신승,1,1
선입 최선전개 펼쳤지만 직선 탄력 보이면서 2착동착,2,1
출발부터 밀리는 모습에 직선에서도 덜미잡혀 밀림,9,0
시종 중간후미나 직선주로 조금 올라서는 모습,6,0
시종 후미에 직선 무난한 걸음이나 큰변화는 아님,8,0
중위권 최선전개나 직선주로 걸음 무뎌지며 처짐,10,0
선입 최선전개나 직선주로 추격 허용해 4착에 머뭄,4,0
출발부터 밀렸으나 직선 추입 나서며 3착 기록함,3,0
선입 최선전개나 4c이후 밀리면서 추격 허용함,6,0
밀며 선두로 부상했으나 경주막판 덜미잡혀 2착만족,2,1
중위권 경주전개나 경주내내 큰변화 보이지는 못함,4,0
출발부터 밀렸고 직선 추입력 보이나 역전실패 아쉬움,3,0
밀며 중위권 나서나 직선 추격 허용해 최하위 처짐,10,0
중위권 경주전개나 경주내내 순위변동 보이지 못함,5,0
중위권 최선전개 펼쳤으나 직선 추격 허용해 처짐,8,0
선행으로 경주주도했고 직선 격차 벌이며 우승차지,1,1
시종 중간후미에 직선주로 추격 허용하며 밀려남,10,0
중위권 경주전개나 경주내내 큰 변화 보이지 못함,5,0
중반이후 격차좁히나 직선 걸음 무뎌지며 처짐,9,0
중반이후 밀리는 모습에 직선에서도 추격 허용함,8,0
시종 후미에 직선 탄력 보이나 큰변화는 아님,8,0
선입 최선전개나 직선주로 걸음 무뎌져 후미처짐,9,0
선입 경주전개후 직선주로 탄력 유지하며 신승거둠,1,1
진입불량 출발재검,4,0
중위권 경주전개후 직선 탄력으로 끝걸음 보이며 2착,2,1
중반이후 격차좁히나 직선 더 이상 나서지는 못함,3,0
선행으로 경주주도나 직선주로 걸음 무뎌지며 처짐,8,0
밀며 중위권 나섰고 직선 탄력 유지하며 5착 기록,5,0
늦은 출발에 경주내내 최하위 벗어나지 못함,11,0
선입 경주전개 펼쳤고 직선주로 탄력 보이며 2착기록,2,1
중위권 경주전개후 직선주로 탄력 보이며 2착선전,2,1
출발부터 강하게 밀었으나 경주막판 덜미로 아쉬운 2착,2,1
밀며 중위권 유지했으나 직선 덜미잡혀 밀리는 모습,7,0
선입 경주전개후 직선 탄력 보이면서 우승차지,1,1
밀며 선행 강공 나섰지만 직선 추격 허용하며 밀려남,4,0
시종 중간후미 머물렀지만 직선 끝걸음 보이며 조금 나섬,6,0
중반이후 격차좁혔고 직선 탄력 이어가며 2착 선전함,2,1
중반이후 격차좁히며 탄력 보이나 역전실패 아쉬움,2,1
선행으로 경주주도나 직선주로 추격 허용하며 처짐,7,0
시종 후미권이나 직선 탄력으로 추입 나서며 5착,5,0
시종 중간후미나 직선 탄력으로 끝걸음 보이며 4착,4,0
선입 최선전개 펼쳤지만 직선주로 덜미잡혀 5착 그침,5,0
중반이후 격차좁히나 직선주로 덜미잡혀 4착 그침,4,0
시종 중간후미에 직선에서도 큰변화 보이지 못함,9,0
시종 중간후미나 직선 끝걸음 보이며 조금 올라섬,6,0
중반이후 나서는 듯 했으나 직선 다시 최하위 처짐,11,0
시종 후미에 직선 탄력이나 큰변화 보이지 못함,9,0
중반이후 밀렸고 직선에서도 추격 허용하는 모습,9,0
선입 최선전개나 직선주로 추격 허용해 5착에 그침,5,0
출발부터 밀렸고 직선에서도 추격 허용해 처짐,10,0
중위권 유지해 나갔지만 직선 추격 허용하며 처짐,9,0
시종 중간후미에 직선에서도 덜미잡혀 밀려남,9,0
경주능력부진 주행재검,10,0
중위권 유지했고 직선 탄력으로 추입 나서며 2착선,2,1
밀며 선입전개 나섰고 직선주로 탄력 이어가며 우승차지,1,1
선행으로 경주주도나 직선 추격 하용해 4착 그침,4,0
선입 최선전개 펼쳤고 직선 탄력 유지하며 3착기록,3,0
밀며 중위권 경주전개나 직선덜미 밀리는 모습,6,0
진입불량 출발재검,5,0
밀며 중위권 나섰으나 경주내내 큰변화 보이지 못함,4,0
선입 전개후 직선주로 탄력 유지하며 신승거둠,1,1
선입 경주전개후 직선주로 탄력 유지하며 우승차지,1,1
선입 최선전개 펼쳤으나 직선주로 덜미잡혀 3착그침,3,0
시종 후미에 머물렀지만 경주막판 조금 나서는 모습,7,0
선행으로 경주주도했고 직선 탄력으로 격차벌이며 우승,1,1
경주능력부진 주행재검,10,0
선행으로 경주주도했고 직선 탄력 유지하며 우승,1,1
시종 후미권이나 직선 탄력으로 끝걸음 보이며 올라섬,6,0
선행으로 경주주도나 직선주로 걸음 무뎌지며 처짐,7,0
시종 후미에 머물렀지만 직선 추입력 보이며 2착선전,2,1
시종 후미에 머물렀으나 직선 탄력으로 끝걸음 보임,6,0
중반이후 선두로 나섰으나 직선 걸음 무뎌져 처짐,8,0
시종 후미권이나 직선주로 추입 나서며 4착 기록,4,0
선행으로 경주주도나 직선주로 덜미잡혀 3착에 그침,3,0
늦발이나 직선 탄력으로 추입력 보이며 4착기록,4,0
중위권 경주전개나 경주막판 덜미잡혀 5착에 머뭄,5,0
선행으로 경주주도하나 직선 추격 허용하며 처짐,6,0
중위권 유지했고 직선 탄력 이어가며 5착 기록함,5,0
시종 중간후미에 직선 추격 허용해 후미처짐,10,0
선입 최선전개 펼쳤고 직선 탄력 유지하며 2착,2,1
중위권 경주전개나 직선주로 덜미잡혀 밀리는 모습,7,0
진입불량 출발재검,10,0
시종 후미에 경주내내 후미 벗어나지 못함,10,0
후미권 머물다 직선 추입력 보이나 역전실패 아쉬움,2,1
시종 중간후미 머물렀지만 직선 큰변화 보이지 못함,6,0
중위권 유지해 나갔고 직선주로 탄력 이어가며 3착,3,0
선행으로 경주주도나 직선막판 덜미잡혀 3착 머뭄,3,0
중위권 전개 펼쳤지만 직선 추격 허용해 밀림,8,0
중위권 최선전개나 직선주로 걸음 무뎌지며 처짐,8,0
선입 최선전개 펼쳤으나 직선주로 덜미잡혀 3착 그침,3,0
시종 후미에 직선 탄력이나 큰변화는 아님,9,0
시종 후미에 머물렀지만 직선 추입 나서며 5착 기록,5,0
시종 중간후미 맴돌았으나 직선 추입 나서며 2착선전,2,1
늦은 출발에 직선주로에서도 큰변화 보이지 못함,9,0
밀며 중위권 나섰지만 직선 덜미잡혀 밀리는 모습,6,0
시종 중간후미에 직선 양호한 탄력이나 큰변화는 아님,6,0
중위권 경주전개나 직선주로 추격 허용하며 밀려남,7,0
중위권 경주전개나 직선주로 추격 허용해 처짐,7,0
시종 중간후미나 직선주로 끝걸음 보이며 5착 기록,5,0
중위권 경주전개나 직선 추격 허용하며 밀리는 모습,7,0
중위권 전개후 직선 탄력이나 역전실패 아쉬움,2,1
선입 경주전개후 직선주로 탄력 이어가며 우승차지,1,1
출발부터 밀리는 모습이나 직선주로 조금 올라서는 모습,6,0
시종 후미에 머물렀지만 직선 추입력 보이며 3착,3,0
중반이후 격차좁혔고 직선 탄력 유지하며 5착기록함,5,0
시종 중간후미에 경주내내 큰변화 보이지는 못함,6,0
밀며 중간후미 유지했으나 직선 걸음 무뎌져 처짐,11,0
시종 중간후미나 직선주로 추입력 보이며 2착선전,2,1
시종 후미권이나 직선 탄력으로 추입 나서며 4착,4,0
중위권 유지해 나갔고 직선 끝걸음 이어가며 5착,5,0
중위권 최선전개나 직선주로 추격 허용해 처짐,8,0
시종 중간후미 머물렀지만 직선 추입력 보이며 3착,3,0
시종 후미에 경주내내 최하위 벗어나지 못함,11,0
밀며 중위권 나섰고 직선주로 탄력 보이며 3착기록,3,0
시종 후미권에 직선 끝걸음 보이나 큰변화는 아님,8,0
중반이후 격차좁혔고 직선 탄력으로 격차벌이며 우승,1,1
선입 최선전개 펼쳤고 직선 막판 덜미로 아쉬운 3착,3,0
시종 후미에 머물렀지만 직선주로 조금 올라서는 모습,7,0
선입 경주전개 펼쳤고 직선 탄력 유지하며 신승거둠,1,1
밀며 선입전개 나섰지만 직선주로 덜미잡혀 밀림,4,0
중반이후 밀리는 모습 직선 4착에 머뭄,4,0
중간후미 맴돌았으나 직선 추입 나서며 4착,4,0
늦발 직선 좋은 탄력 보임,5,0
선입 최선전개 경주막판 덜미 아쉬운 3착,3,0
중간후미 경주내내 순위변동 보이지 못함,7,0
중위권 전개후 직선 탄력 2착 신승,2,1
선입 최선전개 직선주로 추격 허용해 4착,4,0
중반이후 밀리고 직선 걸음 무뎌짐,11,0
선입 최선전개 직선 탄력 유지 2착,2,1
중위권 유지 직선 탄력 역전실패,2,1
선입 최선전개 직로 추격 허용 4착 그침,4,0
중간후미 직선 탄력보이며 4착,4,0
선입 최선전개 직선 걸음 무뎌지며 처짐,8,0
선입 경주전개 직선 탄력 우승,1,1
중위권 전개 직선 탄력으로 신승,2,1
중반이후 밀리고 직선 덜미,9,0
출발불량 출발재검,5,0
선입 전개 펼쳤고 직선 탄력 신승,1,1
시종 중간후미 경주내내변화 못보임,6,0
늦발 직선 탄력 끝걸음 보여줌,6,0
중위권 전개 직선 덜미 밀리는 모습,6,0
선행 경주주도 직선 탄력 우승,1,1
후미에 머물렀지만 직선 추입력 보임,5,0
중반이후 격차좁히나 더 나서지는 못함,5,0
중간후미 맴돌다 직선 추입력 2착신승,2,1
선입 최선전개 경주막판 덜미 아쉬운 2착,2,1
중위권 유지 직선 걸음 무뎌져 최하위,8,0
선행 강공 직선 탄력으로 격차 벌이면서 우승,1,1
중간후미 경주내내 큰변화 보이지 못함,8,0
중위권 유지 직선 탄력 3착기록,3,0
시종 중간후미 직선 끝걸음 보이며 5착,5,0
선입 최선전개 직선 추격 허용해 처짐,10,0
후미 머물다 탄력 보이며 2착 신승거둠,2,1
후미권 직선 탄력이나 큰변화는 아님,7,0
시종 후미 직선 탄력 끝걸음 보임,8,0
밀며 선입전개 나섰지만 직선 추격 허용,9,0
밀며 중위권 큰변화 보이지 못함,4,0
시종 중간후미 직선 덜미잡혀 밀림,8,0
중위권 경주 직선 탄력 보이며 우승,1,1
선입 최선전개나 경주막판 덜미 3착,3,0
늦발이나 직선 탄력 추입 5착 기록,5,0
시종 중간후미 직선 탄력 추입 4착,4,0
선행 경주주도 직선 추격 허용하며 처짐,4,0
늦발 경주내내 최하위에 머무는 모습,11,0
중위권 유지 순위변동 보이지 못함,6,0
중위권 경주전개 직선 탄력 4착,4,0
중위권 경주전개 직선 탄력 보이며 신승,1,1
경주능력부진 재검 및 정지 2개월,11,0
중반이후 격차좁히나 나서지 못하고 3착,3,0
늦발이나 직선주로 탄력 끝걸음 보임,7,0
선행 경주주도 직선 격차 벌이며 우승,1,1
시종 후미 직선 추입 나서며 2착,2,1
선입 최선전개 직선 걸음 무뎌져 처짐,9,0
선행 강공 직선 탄력 이어가며 우승,1,1
선행 경주주도 직선 걸음 무뎌짐,7,0
중위권 최선전개 직선 추격 허용,8,0
선입 최선전개 직선 추격 허용해 5착 그침,5,0
중간후미 직선 추입력 보이며 3착,3,0
시종 후미권 직선 탄력 끝걸음 보임,6,0
중반이후 격차좁혔고 직선 탄력 2착신승,2,1
시종 중간후미 경주막판 조금 올라섬,6,0
시종 중간후미 직선 덜미잡혀 밀려남,9,0
중반이후 밀리고 직선 걸음 무뎌져 처짐,9,0
시종 후미에 후미 벗어나지 못함,11,0
선입 경주전개 직선 탄력 유지하며 우승,1,1
선입 경주전개 직선 끝걸음 신승,1,1
중위권 전개 직선주로 탄력 막판덜미 4착,4,0
중위권 경주전개 큰변화 보이지 못함,5,0
중위권 유지 경주내내 큰변화 보이지 못함,6,0
선행 경주주도 직선 덜미 3착에 머뭄,3,0
중간후미 직선 탄력 끝걸음 보이며 4착,4,0
출발 밀렸고 직선 덜미잡히는 모습,10,0
중반 밀리는 모습 직선 큰변화 못보임,5,0
늦발이나 직선주로 탄력으로 끝걸음,6,0
선입 최선전개 경주막판 덜미 아쉬운 3착,3,0
후미나 직선 탄력 추입 나서며 2착,2,1
선행 경주주도 직선 덜미잡혀 3착 그침,3,0
선입 최선전개 직선 탄력 우승,1,1
중위권 전개 직선 탄력 역전실패,3,0
중반이후 격차좁히나 경주막판 덜미,3,0
출발부터 밀리는 모습 직선 걸음 무뎌짐,9,0
중위권 경주전개 직선 탄력 신승거둠,1,1
중위권 경주전개 직선 추격 허용,9,0
후미권에 경주내내 순위변동 보이지 못함,9,0
시종 후미권 순위변동 보이지 못함,9,0
중위권 유지 직선 탄력 3착 기록,3,0
시종 후미에 후미 벗어나지 못함,10,0
밀며 중반이후 선두권이나 직선 덜미,5,0
선입 경주 직선 탄력 2착선전,2,1
밀며 중간후미 나섰지만 큰변화 못보임,7,0
출발부터 밀렸고 직선 걸음 무뎌져 처짐,10,0
시종 중간후미 경주내내 보이지 못함,8,0
중위권 최선전개 직선 추격 허용 밀림,7,0
중위권 최선전개 직선 덜미 밀리는 모습,6,0
시종 후미 직선 탄력 큰변화는 아님,6,0
중위권 전개 직선 탄력나 막판 덜미 아쉬움,3,0
선행 경주주도 경주막판 덜미 2착,2,1
중위권 최선전개 직선 덜미 밀려남,7,0
중위권 전개 직선 추격 허용하며 처짐,8,0
중간후미 직선 추입력 역전실패 아쉬움,3,0
선입 최선전개 직선 격차 벌어지며 3착,3,0
늦발이나 직선주로 양호한 끝걸음,8,0
선입 경주전개 직선 덜미잡혀 4착에 그침,4,0
중반이후 격차좁혔고 직선 탄력 2착,2,1
시종 후미권 직선 탄력 끝걸음은 보여줌,6,0
늦은 출발 직선 탄력 끝걸음 보이며 5착,5,0
시종 중간후미 직선 탄력 5착 기록,5,0
후미권에 직선 탄력이나 큰변화는 아님,8,0
선입 최선 직선 추격 허용 3착에 그침,3,0
중위권 경주전개 직선 추격 허용 밀림,7,0
선입 경주내내 역전실패 2착 머뭄,2,1
선행 경주주도 직선 추격 허용하며 처짐,6,0
시종 후미 직선 탄력 끝걸음 보임,7,0
늦은 출발에 후미 벗어나지 못함,10,0
선행 경주주도 직선 탄력으로 우승,1,1
중반이후 밀렸고 직선 걸음 무뎌짐,11,0
경주로 입장불량 주행재검,1,1
중위권 전개 직선 걸음 무뎌짐,9,0
시종 후미권 직선 양호한 탄력,7,0
폐출혈 1회 재검 및 정지 1개월,11,0
중위권 경주전개 직선 끝걸음 4착,4,0
선입 최선전개 직선 추격 허용,4,0
선행마 후미를 따라갔으나 직선 탄력이 떨어지며 밀려,5,0
순위좁히는 4코너 지점에서 방해를 받으며 고전,7,0
선행으로 경주주도나 4코너 선두내주고 밀려,4,0
외곽에서 빠르게 선두권 각축이나 3코너부터 밀려,6,0
초반부터 중위권 공략이나 시종 강한모습은 없어,6,0
늦발이후 시종 후미권을 벗어나지 못함,8,0
후미권 이끌다 직선 추입력 발휘 막판 우승각축,2,1
빠른출발없이 시종 후미권 전개나 직선 걸음보여줌,4,0
외곽에서 3-4코너 순위좁혔으나 직선 지치며 처짐,11,0
출발밀렸고 시종 순위변동없이 따라감,7,0
출발밀렸고 시종 후미권으로 벗어나지 못해,11,0
중위권 공략후 선두권 압박이나 직선 입상에는 실패,4,0
시종 후미권으로 벗어나지 못하고 따라감,9,0
시종 후미권 전개나 직선 걸음보이며 조금올라옴,4,0
시종 후미권 전개나 직선 추입력 발휘 후착성공,2,1
선행마 후미권 각축이나 4코너부터 선입권으로 밀려,3,0
중위권 공략이나 4코너이후 직선 탄력이 떨어짐,7,0
선행마 후미각축이나 4코너부터 순위밀려 고전,4,0
선행마 후미를 따라갔으나 직선 지치며 밀려,3,0
시종 후미권에서 강한모습을 보이지못하고 따라감,8,0
선두권 후미를 따라갔으나 시종 순위변동없이 통과,3,0
선행으로 경주를 주도했으나 직선 선두내주고 밀려,3,0
시종 후미전개나 직선초반 선두마 후미가담 후착,2,1
선행성공이나 3코너 선두내주고 직선 밀려,7,0
착지불량으로 순위좁혔으나 입상과는 격차,4,0
시종 후미권을 벗어나지 못하고 따라감,7,0
선두권 후미따르다 직선 선두부상후 버티기,1,1
후미출발이후 시종 순위를 좁혔으나 입상과는 격차,3,0
선행마 후미권 공략이나 직선 탄력이 떨어지며 밀려,6,0
선두권 후미를 따라갔으나 직선 강한모습없이 통과,4,0
빠른출발없이 시종 후미권 전개함,10,0
양호한 출발이나 경주전개할수록 순위밀리는모습,8,0
점프출발로 후미전개나 직선 걸음보여줌,5,0
선행으로 경주를 주도했고 시종 선두를 유지함,1,1
시종 후미권 전개했고 직선 올라오나 강한모습없어,5,0
선행마 후미권 공략이나 직선 탄력이 떨어짐,7,0
양호한 출발이후 3-4코너 순위밀려 직선 다소 고전함,5,0
후미권을 이끌며 기회노렸으나 직선 추입력 발휘안돼,6,0
과태금: 결승선 직선주로 채찍 과다사용,1,1
선두권을 압박하며 따라가다 직선 선행마 덜미잡아,1,1
선행으로 경주를 주도했으나 직선 덜미잡혀,2,1
후미권에서 강한모습을 보이지못하고 따라감,8,0
후미출발후 시종 순위를 좁혀 직선 선두부상후 여유,1,1
선행으로 경주를 주도했으나 직선 선두내주고 밀려,4,0
선행으로 경주를 주도했고 시종 여유있는 모습,1,1
선두권 각축전개나 직선 탄력이 떨어지며 밀려,8,0
선행마 후미출발이나 경주전개할수록 순위밀려,5,0
주의: 결승선 직선주로 안으로 기댐,5,0
후미권 이끌었고 직선 걸음을 보였으나 입상실패,5,0
선두각축속에서 3코너 선두나선후 막판 버티기 성공,1,1
중위권 공략후 기회노렸으나 직선 지친모습보여줌,10,0
선행마 후미각축이나 3코너 선두와 격차벌어져,3,0
선행으로 경주를 주도했으나 직선 지치며 밀려,7,0
시종 후미권에서 강한모습을 보이지못하고 고전,9,0
기승정지: 3코너 진입지점 안으로 진로변경 타마방해,1,1
점프 출발로 시종 후미권 전개함,10,0
시종 후미권에서 강한모습을 보이지못해,10,0
시종 후미권 전개하다 직선 조금올라오며 통과,5,0
선입권 전개하다 직선 선두부상이나 막판 덜미,2,1
선행으로 경주를 주도했으나 직선막판 덜미잡혀,2,1
선행마 후미각축이나 직선 안으로 기대는 모습,7,0
외곽에서 순위좁혀 선입권 전개나 순위못좁혀,6,0
선행성공이나 3코너 선두내주고 직선 밀려,5,0
3코너이후 선두나섰으나 직선 지친모습보여줌,8,0
선두권 후미따라가다 직선 선두마 덜미잡고 우승,1,1
빠른출발없이 후미권 전개나 직선 걸음은 좋아,7,0
출발밀렸고 경주중반 후미로 순위밀려 막판 고전,6,0
출발밀렸고 시종 순위좁혔으나 막판 한발부족,4,0
선행마 후미권 각축후 직선 선두나 막판 덜미,2,1
선두각축후 3코너 선두부상이나 직선지치며 밀려,10,0
선두권 후미를 따라가며 강공이나 막판 역전실패,2,1
출발도 밀렸고 경주전개할수록 순위밀리는모습,8,0
선행마 후미를 따라갔으나 시종 선두로 못나서,2,1
경주능력부진: 1위마와 36.2 마신 차,10,0
초반 방해를 받으며 고전했고 직선 지치며 밀려,6,0
출발밀려 후미권 전개나 직선 조금 올라옴,6,0
중위권 공략이나 시종 탄력보이지 못하고 따라감,8,0
선행마 후미따라갔으나 직선 지치며 밀려,5,0
후미권 이끌었고 직선 올라오나 선두와는 격차,5,0
늦발이후 후미전개나 3코너 순위좁히며 올라옴,4,0
선행마 후미출발후 4코너 순위밀렸으나 직선 올라옴,2,1
"출발심사: 진입, 출발자세 및 출발불량",9,0
경주증력부진: 1위마와 41.0 마신차,11,0
초반부터 중위권 공략이나 직선 지치며 후미로 처짐,9,0
기승정지: 출발후 300M 안으로 진로변경 타마방해,3,0
점프출발 후미전개나 직선 추입력을 보여줌,1,1
시종 후미전개하다 직선 걸음보이며 순위좁히는 모습,4,0
후미권 이끌며 기회노렸으나 시종 강한모습은 없어,5,0
중위권 출발후 시종 순위좁혀 막판 선두로 부상,1,1
마체검사 지정: 왼 앞다리 절음,9,0
선두권을 압박하며 따라갔으나 시종 순위변동없어,3,0
선행마 후미권 각축후 직선 후착이나 선두와 격차,2,1
늦발이후 시종 후미권 벗어나지 못해,7,0
출발밀렸으나 직선 추입력을 보여주며 올라옴,3,0
선행성공후 3코너 밀렸으나 직선 선두부상후 여유,1,1
늦출발이후 후미전개나 직선 추입력을 보여줌,4,0
선행마 후미따라가며 강공이나 시종 선두로 못나서,2,1
중위권 최선전개 큰변화 보이지 못함,4,0
중위권 최선전개 직선 걸음 무뎌짐,9,0
중위권 전개 직선 추입력 3착기록,3,0
게이트 극복하며 선행 탄력 유지우승,1,1
늦발 직선 탄력 역전실패 아쉬움,5,0
경주능력부진 주행재검,10,0
중위권 경주전개 직선 탄력 추입 여유승,1,1
시종 후미 직선 탄력 추입나서며 4착,4,0
시종후미 경주내내 후미,10,0
중반이후 선두 부상했고 직선 격차 우승,1,1
출발 밀렸으나 직선 탄력 추입 5착,5,0
중간후미 맴돌았으나 직선 추입 4착 기록,4,0
밀며 선행 강공 직선 걸음 무뎌짐,10,0
밀며 중간후미 직선 큰 변화는 못보임,5,0
선입 최선전개 막판 덜미 아쉬운 3착,3,0
중위권 경주전개 직선 추격 허용 밀림,8,0
선입 경주전개후 직선 탄력 2착 선전,2,1
중위권 최선전개 직선 걸음 무뎌짐,9,0
중간후미 유지 직선 걸음 무뎌짐,11,0
시종 후미권이나 직선 탄력 끝걸음,6,0
중위권 최선전개 직선 추격 허용 밀림,6,0
늦발 직선 탄력 끝걸음 보임,8,0
늦발이나 직선 탄력 추입력 보여줌,6,0
시종 후미권 직선 탄력 끝걸음 보임,8,0
